hero_id,games,win,with_games,with_win,against_games,against_win
69,115,51,48,29,63,34
67,80,56,90,54,83,45
102,73,51,65,35,78,36
51,71,37,56,25,73,42
71,69,40,148,87,196,93
54,65,35,105,48,111,66
60,56,30,45,21,70,32
34,55,31,81,40,89,49
63,55,24,79,42,105,51
6,54,32,185,90,253,127
4,50,23,243,124,286,150
62,47,17,107,49,159,85
81,45,19,60,33,90,45
106,44,22,90,38,88,50
104,40,23,175,98,234,119
18,38,22,112,56,160,77
97,38,23,33,17,56,32
88,36,19,75,35,60,33
53,35,14,88,42,115,64
21,34,22,121,73,182,99
19,32,15,80,34,103,60
8,31,20,195,98,225,120
96,31,15,49,23,77,44
16,30,20,83,41,82,42
28,30,15,78,45,103,51
32,30,19,207,122,258,119
27,29,16,111,60,118,50
5,28,15,115,75,171,89
7,28,13,120,64,145,55
45,28,13,55,21,67,34
75,27,10,113,63,142,65
44,26,12,308,156,329,167
93,25,11,180,93,198,100
79,24,8,29,15,30,14
103,24,17,17,11,36,17
3,23,11,33,16,54,31
30,23,12,133,76,176,79
35,23,13,350,183,358,189
70,23,14,151,75,162,70
52,22,13,32,19,42,22
77,22,11,46,23,53,26
22,21,10,133,71,154,80
2,20,8,222,112,243,119
14,20,12,368,193,376,195
41,20,8,140,74,193,92
73,20,12,83,37,94,57
85,20,14,57,28,93,43
13,19,8,63,30,71,37
47,19,10,125,70,145,76
1,18,10,113,62,149,87
17,18,7,109,53,111,56
12,17,8,90,40,101,44
57,17,10,69,46,114,57
65,17,6,26,12,37,23
99,17,9,101,56,121,61
100,17,7,67,41,70,40
33,16,9,59,33,64,35
56,16,8,68,26,104,57
61,16,8,44,19,46,28
83,16,9,43,23,65,33
98,16,8,73,44,69,37
15,15,12,96,53,125,66
23,15,6,82,39,90,54
68,15,4,53,23,61,34
86,15,7,89,45,117,71
36,14,9,92,63,148,73
84,14,4,94,43,105,58
10,13,4,48,19,65,39
20,13,4,52,34,100,43
31,13,8,75,38,81,36
76,13,5,52,26,86,48
78,13,8,31,17,47,14
101,13,6,63,34,108,63
26,12,5,127,63,195,108
29,12,5,62,32,80,32
58,12,7,31,10,41,24
72,12,7,48,26,93,56
94,12,8,52,31,83,42
9,10,4,102,61,144,69
46,10,5,85,31,98,55
64,10,5,57,33,76,35
90,10,5,57,30,80,43
109,10,5,51,29,64,37
11,9,3,87,47,118,64
43,9,4,75,30,100,49
49,9,8,60,27,93,51
38,8,5,20,13,39,22
39,8,4,69,30,87,47
42,8,6,120,70,136,61
48,8,2,86,43,131,71
55,8,5,32,17,38,15
25,7,2,121,63,155,82
59,7,2,134,65,140,84
87,7,2,47,31,83,44
110,7,2,39,25,51,31
91,6,3,16,6,30,16
40,5,3,64,30,73,34
82,5,1,42,25,59,31
95,5,2,101,50,126,67
50,4,3,66,39,82,43
80,4,1,36,19,36,15
89,4,1,20,8,38,22
66,3,0,12,7,22,13
107,3,2,27,8,32,18
111,3,1,21,6,33,22
129,3,1,5,3,10,6
135,3,2,6,1,14,8
37,2,0,54,30,62,27
92,2,1,16,3,25,13
105,2,1,51,30,74,39
108,1,1,12,7,13,6
112,1,0,29,9,27,14
113,1,0,12,4,8,5
114,1,0,16,6,25,13
74,0,0,178,76,211,123
119,0,0,2,2,6,4
120,0,0,2,0,5,4
121,0,0,6,5,13,6
123,0,0,15,8,15,8
126,0,0,13,6,5,2
128,0,0,15,7,5,4
136,0,0,12,4,15,6
137,0,0,5,2,8,3
